Search keyword report
All time
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,CTR,Currency code,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[tripoint mercedes diagnostics],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/booking,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter major service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[tripointdiagnostics],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/booking,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mercedes van service,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,4,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,sprinter service b,Broad match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""fault finding near me""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[vehicle electrical diagnostics],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""mobile auto electrician""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,,226,7.08%,GBP,39.03,16,0.00%,0.00,2.44,0.00
Enabled,"""sprinter van service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[auto electrician near me],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,low quality; campaign removed,,263,11.41%,GBP,72.26,30,0.00%,0.00,2.41,0.00
Enabled,mobile mercedes servicing,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mobile sprinter service,Broad match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,van brakes near me,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""tripoint diagnostics booking""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/booking,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter wiring fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[mobile mercedes van service],Exact match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter can fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,sprinter service near me,Broad match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,8,12.50%,GBP,1.71,1,0.00%,0.00,1.71,0.00
Enabled,mercedes commercial vehicle service,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mercedes sprinter service,Broad match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,46,6.52%,GBP,12.41,3,100.00%,3.00,4.14,4.14
Removed,"""mercedes van service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Removed,removed,,3,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter oil service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""tripoint diagnostics""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/booking,3,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter service cost""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter communication fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""tripoint diagnostics ltd""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/booking,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[sprinter communication fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""mobile mercedes van service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[sprinter intermittent fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mobile van service near me,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,4,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter canbus fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[tripoint diagnostics booking],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/booking,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""auto electrician near me""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,low quality; campaign removed,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,sprinter service a,Broad match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Removed,[sprinter service near me],Exact match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Removed,removed,,4,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""mercedes van brake pads""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[mobile sprinter service],Exact match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter electrical fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[sprinter wiring fault diagnosis],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mercedes van brakes,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[vito electrical fault diagnosis],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""vito electrical fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[tripoint diagnostics ltd],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/booking,1,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[sprinter can fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""sprinter intermittent fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mobile mercedes van service,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[mobile auto electrician],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,,107,13.08%,GBP,34.12,14,0.00%,0.00,2.44,0.00
Enabled,[tripoint diagnostics],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Brand | TriPoint,Not eligible,campaign removed,https://www.tripointdiagnostics.co.uk/booking,21,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,sprinter servicing,Broad match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,16,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Removed,[sprinter servicing],Exact match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Removed,removed,,2,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[sprinter electrical fault diagnosis],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Removed,"""vehicle electrical diagnostics""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Removed,removed; campaign removed,,126,9.52%,GBP,29.87,12,0.00%,0.00,2.49,0.00
Enabled,"""mobile mercedes sprinter service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Sprinter Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[sprinter canbus fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""mobile mercedes servicing""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,van servicing near me,Broad match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,4,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""mercedes van service near me""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,[fault finding near me],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,[sprinter dpf regeneration],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,[sprinter scr fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,[sprinter emissions fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,"""w420 citan service""",Phrase match,Search | Servicing & Brakes | Kent + SE London,Citan Servicing,Eligible,,,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,[sprinter nox sensor fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,[vito adblue fault],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,"""sprinter dpf regen""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,"""vito adblue fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Enabled,mercedes citan service,Broad match,Search | Servicing & Brakes | Kent + SE London,Citan Servicing,Eligible,,,2,0.00%,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,"""sprinter nox fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,"""sprinter adblue countdown""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,[sprinter dpf regen],Exact match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,"""mercedes van emissions fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
Paused,"""sprinter scr fault""",Phrase match,TriPoint | Search | Mercedes Vans | Kent + SE London,Emissions Diagnostics | AdBlue/SCR/DPF,Paused,paused; rarely served; campaign removed,https://www.tripointdiagnostics.co.uk/services/emissions-diagnostics,0, --,GBP,0.00,0,0.00%,0.00,0,0.00
